idProduto_PK,comprimento,descricao,peso,largura,altura,idPedido_FK
254,3,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",362,2,5,17
255,10,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",138,9,4,179
256,1,"Aenean auctor gravida sem.",977,2,2,150
257,6,"Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.",16,3,10,44
258,10,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",681,5,10,77
259,1,"In eleifend quam a odio. In hac habitasse platea dictumst.",805,10,7,35
260,2,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",403,7,2,37
261,5,"In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.",890,9,6,147
262,10,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",629,5,10,183
263,10,"Integer non velit.",859,9,5,22
264,1,"Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.",661,3,10,200
265,10,"Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",124,8,2,161
266,9,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",900,4,8,174
267,4,"Sed ante. Vivamus tortor.",957,6,9,28
268,5,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",691,3,5,142
269,3,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.",897,1,1,178
270,2,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",607,6,3,160
271,7,"Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",173,1,3,37
272,9,"Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",364,3,3,69
273,10,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.",89,6,7,153
274,8,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",323,6,9,198
275,5,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",334,6,10,103
276,7,"Donec semper sapien a libero.",625,10,2,119
277,10,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",54,2,2,197
278,2,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",924,6,4,46
279,8,"Praesent blandit. Nam nulla.",150,7,3,170
280,10,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",979,4,8,115
281,2,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",996,5,1,123
282,9,"Donec ut mauris eget massa tempor convallis.",615,9,1,164
283,7,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",122,1,1,184
284,5,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",972,2,3,177
285,5,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",335,3,7,123
286,10,"Morbi a ipsum. Integer a nibh. In quis justo.",784,8,5,98
287,2,"Sed vel enim sit amet nunc viverra dapibus.",337,6,2,108
288,8,"Sed ante.",950,2,7,140
289,3,"Etiam pretium iaculis justo. In hac habitasse platea dictumst.",682,3,7,96
290,7,"Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.",455,6,9,127
291,10,"Nulla nisl.",552,10,2,52
292,3,"Proin interdum mauris non ligula pellentesque ultrices.",939,5,7,33
293,3,"Suspendisse potenti. Nullam porttitor lacus at turpis.",907,7,1,117
294,4,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",791,4,5,186
295,1,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.",190,1,10,80
296,10,"Ut tellus. Nulla ut erat id mauris vulputate elementum.",558,9,4,162
297,10,"Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.",190,10,3,80
298,10,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",798,2,4,122
299,3,"Pellentesque at nulla.",647,6,1,116
300,4,"Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.",82,5,1,147
